name,location,currency,price,participants,organizer,period,invite,tags,logo_link,item_id,start_date,end_date
TiDB Future App Hackathon 2023,Online,$,36000,809,PingCAP,"Jun 06 - Jul 28, 2023",False,"['Beginner Friendly', 'Machine Learning/AI', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/491/849/datas/medium_square.jpeg,item-00011,2023-06-06,2023-07-28
Linera Developer Summer School 2023,Online,$,10000,311,linera,"Jun 23 - Jul 23, 2023",False,"['Fintech', 'Blockchain', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/493/871/datas/medium_square.png,item-00012,2023-06-23,2023-07-23
Charleston Summer Hacks - Hack for Good (In-Person only),Charleston Tech Center,$,0,32,Charleston Digital Corridor,"Jun 21 - 27, 2023",False,"['Beginner Friendly', 'Machine Learning/AI', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/493/189/datas/medium_square.png,item-00013,2023-06-21,2023-06-27
Atlas Madness,Online,$,10000,877,Google Inc,"May 18 - Jul 11, 2023",False,"['Databases', 'DevOps', 'Productivity']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/439/805/datas/medium_square.png,item-00014,2023-05-18,2023-07-11
Ripple CBDC Innovate,Online,$,200000,487,Ripple,"May 15 - Aug 18, 2023",False,"['Blockchain', 'Fintech', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/459/630/datas/medium_square.png,item-00015,2023-05-15,2023-08-18
Fantom Hackathon Q2 2023,Online,$,306000,937,Fantom Foundation,"May 08 - Jul 03, 2023",False,"['Beginner Friendly', 'Blockchain', 'Open Ended']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/468/993/datas/medium_square.png,item-00016,2023-05-08,2023-07-03
MOSA Summer of Code 2023,Online,$,800,51,MCIT Online Student Association,"May 15 - Aug 28, 2023",True,"['Beginner Friendly', 'Open Ended']",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-00017,2023-05-15,2023-08-28
Equali-Hack Summer 2023,Online,$,0,9,EqualiHack,"Jun 20 - Jul 04, 2023",False,"['Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/462/028/datas/medium_square.png,item-00018,2023-06-20,2023-07-04
Equali-Hack Summer 2023,Online,$,0,9,EqualiHack,"Jun 20 - Jul 04, 2023",False,"['Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/462/028/datas/medium_square.png,item-00019,2023-06-20,2023-07-04
Young Youth Innovators Summer 2023,Online,$,0,153,Young Youth Innovators,"Jun 20 - Jul 20, 2023",False,"['Beginner Friendly', 'Low/No Code', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/462/068/datas/medium_square.png,item-00020,2023-06-20,2023-07-20
Bunnyshell Stack Jam Hackathon,Online,$,28000,692,bunnyshell,"Apr 14 - Jul 10, 2023",False,"['DevOps', 'Productivity', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/451/242/datas/medium_square.jpg,item-00021,2023-04-14,2023-07-10
CSESoc's Flagship Hackathon 2023,"Kensington, Australia",$,3500,1,CSESoc,"Jun 30 - Jul 01, 2023",False,['Beginner Friendly'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/522/268/datas/medium_square.png,item-00022,2023-06-30,2023-07-01
CTRL Hacks,Online,$CAD,500,1,CTRL Hacks,"Sep 21 - 25, 2023",False,"['Beginner Friendly', 'Education', 'Low/No Code']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/515/447/datas/medium_square.png,item-00023,2023-09-21,2023-09-25
GNEC Hackathon,Online,$,0,5,Global NGO Executive Committee,"Jul 23 - Aug 06, 2023",False,"['Beginner Friendly', 'Social Good', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/439/080/datas/medium_square.png,item-00024,2023-07-23,2023-08-06
Hacktivate 2023,Online,$,100,2,Tech Savvy Youth,"Jul 15 - 22, 2023",False,"['Beginner Friendly', 'Education']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/514/077/datas/medium_square.png,item-00025,2023-07-15,2023-07-22
Girls in Tech : Hack for the Environment,Online,$,6000,9,Girls in Tech,"Jul 26 - Aug 23, 2023",False,"['Machine Learning/AI', 'Robotic Process Automation', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/513/023/datas/medium_square.png,item-00026,2023-07-26,2023-08-23
Encode Justice NY Hackathon,Brooklyn Public Library,$,0,3,Encode Justice New York,"Jul 01, 2023",False,"['Beginner Friendly', 'Education', 'Low/No Code']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/489/datas/medium_square.png,item-00027,2023-07-01,2023-07-08
The Robots Are Coming,AMCC,$,75,1,MARZ,"Jul 13, 2023",False,"['Beginner Friendly', 'Machine Learning/AI', 'Robotic Process Automation']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/054/datas/medium_square.png,item-00028,2023-07-13,2023-07-20
HackDearborn,University of Michigan - Dearborn,$,800,4,MLH,"Oct 21 - 22, 2023",False,"['Beginner Friendly', 'Machine Learning/AI', 'Open Ended']",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-00029,2023-10-21,2023-10-22
AI Hack'23,RNSIT  - AI&ML Block,₹,70000,5,Amura Club Dept. Of AIML RNSIT,"Jul 07 - 08, 2023",False,"['Databases', 'Fintech', 'Machine Learning/AI']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/508/544/datas/medium_square.jpeg,item-00030,2023-07-07,2023-07-08
NEARCON IRL Hackathon,Armazem,$,140000,50,NEAR Protocol,"Nov 07 - 10, 2023",False,"['Beginner Friendly', 'Blockchain', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/507/867/datas/medium_square.png,item-00031,2023-11-07,2023-11-10
HackZurich 2023,Halle 550 Zurich Oerlikon,$,10000,14,HackZurich,"Jul 10 - Sep 17, 2023",False,"['Mobile', 'Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/508/341/datas/medium_square.png,item-00032,2023-07-10,2023-09-17
Epson Innovation Challenge #2,Foundry 415 Innovation Group,$,10997,10,Foundry 415 Innovation Group,"Jul 12 - 20, 2023",False,"['Machine Learning/AI', 'Open Ended', 'Productivity']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/504/361/datas/medium_square.png,item-00033,2023-07-12,2023-07-20
All Inclusive Hacks,Online,$,202150,156,All Inclusive Hacks,"Aug 18 - 21, 2023",False,"['Machine Learning/AI', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/494/822/datas/medium_square.png,item-00034,2023-08-18,2023-08-21
MelonJam 4,Online,$,50,22,Cupertino GDC,"Jul 21 - 24, 2023",False,"['Beginner Friendly', 'Design', 'Gaming']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/491/075/datas/medium_square.png,item-00035,2023-07-21,2023-07-24
Fall In Vets Hackathon with AI guest speaker from Harvard CS50 guest lecturer,Los Angeles,$,0,2,Fall In,"Jun 30 - Jul 02, 2023",False,"['Beginner Friendly', 'Health', 'Low/No Code']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/501/243/datas/medium_square.png,item-00036,2023-06-30,2023-07-02
TechXcelerate Summer Hackathon 2023,Online,$,61464,27,TechXcelerate,"Jul 08 - 22, 2023",False,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/494/079/datas/medium_square.png,item-00037,2023-07-08,2023-07-22
HackChess,Online,$,270,60,Lake Washington High School,"Jul 15 - 22, 2023",False,"['Beginner Friendly', 'Gaming', 'Machine Learning/AI']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/496/308/datas/medium_square.png,item-00038,2023-07-15,2023-07-22
HackBytes II,Online,$,21937,330,Bytes and Pieces,"Jun 30 - Jul 01, 2023",False,"['Education', 'Beginner Friendly', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/493/885/datas/medium_square.png,item-00039,2023-06-30,2023-07-01
BÄKO-Hackathon,Amplifier,€,9500,3,hack.institute,"Aug 25 - 27, 2023",False,['Open Ended'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/493/085/datas/medium_square.png,item-00040,2023-08-25,2023-08-27
KatyYouthHacks 2023,Online,$,0,9,Girls Who Code Katy,"Aug 12 - 13, 2023",False,"['Beginner Friendly', 'Low/No Code', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/495/412/datas/medium_square.png,item-00041,2023-08-12,2023-08-13
SICK Solution Hackathon,SICK SIA Campus,€,120000,28,SICK,"Oct 24 - 26, 2023",True,"['IoT', 'Machine Learning/AI', 'Robotic Process Automation']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/490/031/datas/medium_square.png,item-00042,2023-10-24,2023-10-26
YouthCodeX,No location yet,$,101500,80,Youth Code Foundation,"Jul 29, 2023",False,"['Design', 'Productivity', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/488/760/datas/medium_square.jpg,item-00043,2023-07-29,2023-08-05
STEMist Hacks II,Online,$,83934,194,STEMist Education,"Jul 21 - 23, 2023",False,"['Beginner Friendly', 'Education', 'Open Ended']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/491/831/datas/medium_square.png,item-00044,2023-07-21,2023-07-23
Global Hack Week: Launch,Online,$,0,77,Major League Hacking,"Jul 03 - 10, 2023",False,"['Beginner Friendly', 'Low/No Code', 'Open Ended']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/482/478/datas/medium_square.png,item-00045,2023-07-03,2023-07-10
API World Hackathon 2023,Santa Clara Convention Center & Virtual,$,28500,67,DevNetwork,"Oct 09 - 26, 2023",False,"['IoT', 'Machine Learning/AI']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/487/824/datas/medium_square.jpg,item-00046,2023-10-09,2023-10-26
Scioverflow,Online,$,22050,25,weSTEM,"Jul 20 - 21, 2023",False,"['Health', 'Machine Learning/AI', 'Social Good']",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-00047,2023-07-20,2023-07-21
Young Youth Innovators Fall 2023,Online,$,0,8,Young Youth Innovators,"Aug 31 - Sep 14, 2023",False,"['Beginner Friendly', 'Low/No Code', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/477/913/datas/medium_square.png,item-00048,2023-08-31,2023-09-14
Equali-Hack Fall 2023,Online,$,0,6,EqualiHack,"Sep 01 - Oct 01, 2023",False,"['Low/No Code', 'Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/475/386/datas/medium_square.png,item-00049,2023-09-01,2023-10-01
DeveloperWeek CloudX 2023 Hackathon,San Mateo Events Center & Virtual,$,16500,25,DevNetwork,"Aug 01 - 16, 2023",False,"['DevOps', 'IoT', 'Open Ended']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/487/811/datas/medium_square.jpg,item-00050,2023-08-01,2023-08-16
EducateHacks,Online,$,6210,96,EducateHacks,"Apr 05 - 07, 2024",False,"['Education', 'Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/339/963/datas/medium_square.png,item-00051,2024-04-05,2024-04-07
LaunchHacks III,Online,$,35000,58,LaunchHacks,"Apr 05 - 07, 2024",False,"['Beginner Friendly', 'Education', 'Machine Learning/AI']",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-00052,2024-04-05,2024-04-07
LaunchHacks IV,Online,$,20000,20,LaunchHacks,"Apr 08 - 09, 2025",False,"['Beginner Friendly', 'Education', 'Open Ended']",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-00053,2025-04-08,2025-04-09
LaunchHacks 2023 Summer Hackathon,Online,$,30000,426,LaunchHacks,"Jul 22 - 29, 2023",False,"['Beginner Friendly', 'Machine Learning/AI', 'Open Ended']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/432/331/datas/medium_square.png,item-00054,2023-07-22,2023-07-29
PeddieHacks 2023,Online,$,94802,41,Peddie Computer Science Club,"Aug 18, 2023",False,['Beginner Friendly'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/550/datas/medium_square.JPG,item-00055,2023-08-18,2023-08-25
[See desc for more info] PlanetUnity Winter '23 - WORLD,SEE MORE INFO,$,0,4,Planet Unity,"Feb 17 - 25, 2024",False,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/405/240/datas/medium_square.png,item-00056,2024-02-17,2024-02-25
Hoya Hacks 2024,Healey Family Student Center,$,1600,7,Hoya Hacks,"Jan 26 - 28, 2024",False,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/507/923/datas/medium_square.png,item-00057,2024-01-26,2024-01-28
PyraHacks 2023,Online,$,22470,117,Memphis Hack Club,"Jul 28 - 30, 2023",False,"['Beginner Friendly', 'Education', 'Health']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/357/507/datas/medium_square.png,item-00058,2023-07-28,2023-07-30
STEAM Fest Mini Hackathon,Online,$,119800,81,The STEAM Boat,"Jun 16 - 24, 2023",False,"['Design', 'Gaming', 'Mobile']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/508/019/datas/medium_square.png,item-00059,2023-06-16,2023-06-24
LearnHacks,Online,$,4500,127,LearnHacks,"Jun 23 - 25, 2023",False,"['Beginner Friendly', 'Low/No Code', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/471/260/datas/medium_square.png,item-00060,2023-06-23,2023-06-25
CodeXplode: Ignite the Coding Revolution,Бакалавриат НГУ,$,0,5,GIJC,"Jun 19, 2023",False,"['Databases', 'E-commerce/Retail', 'Mobile']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/512/315/datas/medium_square.jpg,item-00061,2023-06-19,2023-06-26
UC Berkeley AI Hackathon,"MLK Student Union - Berkeley, CA",$,228700,818,Cal Hacks,"Jun 17 - 18, 2023",False,['Machine Learning/AI'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/269/datas/medium_square.png,item-00062,2023-06-17,2023-06-18
Future Health Pioneers: KNIME Digital Health Innovation Hackathon,"Richmond, VA, USA",$,0,17,VIrginia Commonwealth University,"Jun 17 - 18, 2023",False,"['Databases', 'Health', 'Machine Learning/AI']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/165/datas/medium_square.jpg,item-00063,2023-06-17,2023-06-18
Save our Air Hackathon,rkey,$,1600,9,rkey,"Jun 24 - 25, 2023",True,"['Machine Learning/AI', 'Robotic Process Automation', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/501/396/datas/medium_square.jpeg,item-00064,2023-06-24,2023-06-25
Pinecone Hackathon: Jumpstart Real-World AI Applications,Online,$,101680,1418,Pinecone,"Jun 19 - 26, 2023",False,"['Databases', 'Machine Learning/AI', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/503/904/datas/medium_square.png,item-00065,2023-06-19,2023-06-26
LingHacks V,Online,$,22845,99,LingHacks,"Jun 24 - 25, 2023",False,"['Beginner Friendly', 'Machine Learning/AI', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/503/458/datas/medium_square.png,item-00066,2023-06-24,2023-06-25
Niantic 8th Wall Hackathon,Online,£,8500,61,Digital Catapult,"Jun 07 - 09, 2023",True,"['AR/VR', 'Mobile']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/499/207/datas/medium_square.png,item-00067,2023-06-07,2023-06-09
Space City Hacks 2023,Online,$,0,56,Space City Hacks,"Jun 19, 2023",False,"['Beginner Friendly', 'Education', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/498/697/datas/medium_square.png,item-00068,2023-06-19,2023-06-26
A Midsummer's Hack,Online,$CAD,250,18,Project Tech Conferences,"Jun 03 - 04, 2023",False,['Beginner Friendly'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/496/428/datas/medium_square.png,item-00069,2023-06-03,2023-06-04
Hack Spartan 2023,Online,$,300,22,Sparta High School,"Jun 04, 2023",False,"['Beginner Friendly', 'Design', 'Low/No Code']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/487/427/datas/medium_square.png,item-00070,2023-06-04,2023-06-11
BuildingBloCS 2023,NUS ICube Building,$,2450,137,BuildingBloCS,"Jun 01 - 04, 2023",False,['Machine Learning/AI'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/494/357/datas/medium_square.png,item-00071,2023-06-01,2023-06-04
Charleston Summer Hacks - Generative AI Hack,Charleston Tech Center,$,0,52,Charleston Digital Corridor,"Jun 12 - 21, 2023",False,"['Beginner Friendly', 'Machine Learning/AI', 'Open Ended']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/488/283/datas/medium_square.png,item-00072,2023-06-12,2023-06-21
Generative AI Hackathon: Revolutionize the Future of Work & Business,Hacker Dojo,$,700,131,FutureProof,"Jun 23 - 25, 2023",True,"['Enterprise', 'Machine Learning/AI', 'Open Ended']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/469/476/datas/medium_square.png,item-00073,2023-06-23,2023-06-25
KTHack 2023,Online,$,3480,36,KTBYTE,"Jun 17 - 18, 2023",False,"['Beginner Friendly', 'Education', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/480/420/datas/medium_square.jpeg,item-00074,2023-06-17,2023-06-18
Tigre Hacks,Polideportivo FIME,MEX$,60000,137,Bisontech,"May 28, 2023",False,"['Education', 'Machine Learning/AI', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/489/014/datas/medium_square.jpg,item-00075,2023-05-28,2023-06-04
Hydra Hacks III,Oshman Family JCC,$,3000,2,Hydra Hacks,"May 28, 2023",False,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/489/959/datas/medium_square.jpg,item-00076,2023-05-28,2023-06-04
GryphHacks 2023,University of Guelph - University Cenre,$CAD,850,64,university of guelph,"May 27 - 28, 2023",False,"['Beginner Friendly', 'Design', 'Machine Learning/AI']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/489/721/datas/medium_square.png,item-00077,2023-05-27,2023-05-28
Hackamental,VISST,$CAD,500,8,XdHacks Mini,"Jun 24, 2023",False,"['Beginner Friendly', 'Health', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/486/495/datas/medium_square.png,item-00078,2023-06-24,2023-07-01
Westview Hacks,Pacific Time,$,25,21,Westview Webdev Club,"May 27, 2023",False,"['Beginner Friendly', 'Databases', 'Web']",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-00079,2023-05-27,2023-06-03
ILLUMINA'23,Online,₹,25000,250,Vellore Institute of Technology,"May 26 - Jun 02, 2023",False,['Web'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/489/053/datas/medium_square.png,item-00080,2023-05-26,2023-06-02
Student Dreamers Venture One Day Hackathon,Online,$,900,1,George Mason University,"May 26, 2023",False,"['Beginner Friendly', 'Education']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/488/710/datas/medium_square.png,item-00081,2023-05-26,2023-06-02
"""Hello 8th Wall"" Workshop (Amsterdam)",,£,0,20,Niantic,"May 25 - 26, 2023",False,['AR/VR'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/488/214/datas/medium_square.png,item-00082,2023-05-25,2023-05-26
PolyHack 2023,Online,$,334700,91,Google Developer Student Club @ PolyU,"May 31 - Jun 05, 2023",False,"['Fintech', 'IoT', 'Machine Learning/AI']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/486/826/datas/medium_square.png,item-00083,2023-05-31,2023-06-05
X-thon 2,مكتبة التخصصات الصحية,$,8000,57,HTS,"May 25 - 27, 2023",False,"['Education', 'Gaming', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/486/331/datas/medium_square.png,item-00084,2023-05-25,2023-05-27
"It's Not A Bug, It's A Feature!",Crescenta Valley High School,$,750,19,Crescenta Valley High School,"May 20, 2023",False,"['Beginner Friendly', 'Education', 'Open Ended']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/483/602/datas/medium_square.jpg,item-00085,2023-05-20,2023-05-27
LifeHack 2023,"Singapore, Singapore",$,16000,236,NUS Students' Computing Club,"May 18 - 30, 2023",True,"['Beginner Friendly', 'COVID-19']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/470/711/datas/medium_square.jpg,item-00086,2023-05-18,2023-05-30
AITE Hackathon 2023,Academy of Info Tech and Engineering,$,450,13,AITE,"May 18 - 25, 2023",True,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/482/507/datas/medium_square.png,item-00087,2023-05-18,2023-05-25
2nd PHYSICS Hackathon,Greece,€,435,35,PHYSICS Project,"May 24 - Jun 07, 2023",False,"['Beginner Friendly', 'DevOps']",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-00088,2023-05-24,2023-06-07
TritonHacks 2023,"University of California, CSE Building",$,610,73,CS foreach,"May 20 - 21, 2023",True,"['Beginner Friendly', 'Education']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/463/930/datas/medium_square.png,item-00089,2023-05-20,2023-05-21
AcademiesHacks 2023,Academies of Loudoun,$,902,132,Loudoun County Public Schools,"May 19 - 21, 2023",True,"['Beginner Friendly', 'Education']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/482/607/datas/medium_square.png,item-00090,2023-05-19,2023-05-21
HackJPS 2023,Online,$,55000,254,John P. Stevens High School,"Jun 03 - 04, 2023",False,"['Beginner Friendly', 'Productivity', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/481/688/datas/medium_square.png,item-00091,2023-06-03,2023-06-04
"""Hello 8th Wall"" Workshop (London)",,$,0,36,Niantic,"May 18 - 19, 2023",False,"['AR/VR', 'Low/No Code', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/482/549/datas/medium_square.png,item-00092,2023-05-18,2023-05-19
So you think you can hack,Online,$,20000,787,Databricks,"May 18 - Jun 19, 2023",False,"['Machine Learning/AI', 'Databases']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/480/969/datas/medium_square.png,item-00093,2023-05-18,2023-06-19
Problem-Solving,Online,$,266,38,Microsoft Learn Student Ambassadors,"May 17 - 22, 2023",True,"['Design', 'Mobile', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/476/071/datas/medium_square.png,item-00094,2023-05-17,2023-05-22
AI SF,"San Francisco, CA, USA",$,34000,85,founders inc,"May 15 - 17, 2023",False,['Open Ended'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/480/970/datas/medium_square.png,item-00095,2023-05-15,2023-05-17
FHS 3rd Annual Hackathon,Online,$,2100,37,student,"May 19 - 21, 2023",False,"['Beginner Friendly', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/480/942/datas/medium_square.png,item-00096,2023-05-19,2023-05-21
